dobsoji01,Colorado Rockies,COR
doellke01,Atlanta Thrashers,ATL
doherfr01,Quebec Bulldogs,QU1
doherfr01,Montreal Wanderers,MOW
doherfr01,Toronto Ontarios,TOO
doherfr01,Toronto Ontarios/Shamrocks,TOO
doherfr01,Toronto Blueshirts,TBS
doherfr01,Renfrew Creamery Kings,REN
doherfr01,Montreal Canadiens,MTL
doigja01,Winnipeg Jets,WIN
doigja01,New York Rangers,NYR
doigja01,Washington Capitals,WAS
doigja01,Phoenix Coyotes,PHO
dollabo01,Edmonton Oilers,EDM
dollabo01,Detroit Red Wings,DET
dollabo01,Quebec Nordiques,QUE
dollabo01,Mighty Ducks of Anaheim,ANA
dollabo01,San Jose Sharks,SJS
dollabo01,Ottawa Senators,OTT
dollabo01,Winnipeg Jets,WIN
dollabo01,Calgary Flames,CAL
dollabo01,Pittsburgh Penguins,PIT
dolsodo01,Detroit Cougars,DTC
dolsodo01,Detroit Falcons,DTF
domenhn01,Atlanta Thrashers,ATL
domenhn01,Calgary Flames,CAL
domenhn01,Minnesota Wild,MIN
domenhn01,Hartford Whalers,HAR
domero01,Calgary Flames,CAL
domero01,Pittsburgh Penguins,PIT
domiti01,Toronto Maple Leafs,TOR
domiti01,New York Rangers,NYR
domiti01,Winnipeg Jets,WIN
donalga01,Chicago Blackhawks,CHI
donalga01,Chicago Black Hawks,CHI
donalga01,Houston Aeros,HOU
donatcl01,Minnesota North Stars,MNS
donatcl01,Boston Bruins,BOS
donatte01,Mighty Ducks of Anaheim,ANA
donatte01,St. Louis Blues,STL
donatte01,New York Islanders,NYI
donatte01,New York Rangers,NYR
donatte01,Ottawa Senators,OTT
donatte01,Dallas Stars,DAL
donatte01,Los Angeles Kings,LAK
donatte01,Boston Bruins,BOS
donneba01,Montreal Maroons,MTM
donneda01,Edmonton Oilers,EDM
donneda01,Chicago Blackhawks,CHI
donneda01,Boston Bruins,BOS
donneda01,Chicago Black Hawks,CHI
donnego01,Buffalo Sabres,BUF
donnego01,Dallas Stars,DAL
donnego01,Quebec Nordiques,QUE
donnego01,Winnipeg Jets,WIN
donnejo01,Ottawa Nationals,OTN
donnemi01,New York Islanders,NYI
donnemi01,Los Angeles Kings,LAK
donnemi01,New York Rangers,NYR
donnemi01,Dallas Stars,DAL
donnemi01,Buffalo Sabres,BUF
donnepa01,Cincinnati Stingers,CIN
donnepe01,Quebec Nordiques,QUN
donnepe01,Vancouver Blazers,VAB
donnepe01,New York Raiders,NRA
donovma01,New York Islanders,NYI
donovsh01,Calgary Flames,CAL
donovsh01,Colorado Avalanche,COL
donovsh01,San Jose Sharks,SJS
donovsh01,Boston Bruins,BOS
donovsh01,Atlanta Thrashers,ATL
donovsh01,Ottawa Senators,OTT
donovsh01,Pittsburgh Penguins,PIT
doornja01,New York Islanders,NYI
dopitji01,Edmonton Oilers,EDM
dopitji01,Philadelphia Flyers,PHI
dopsoro01,Pittsburgh Penguins,PIT
doranjo01,New York Americans,NYA
doranjo01,Montreal Canadiens,MTL
doranjo01,Detroit Red Wings,DET
doranll01,Detroit Red Wings,DET
doranst01,Cobalt Silver Kings,COB
doratke01,Detroit Red Wings,DET
doratke01,Toronto Maple Leafs,TOR
doratke01,Portland Rosebuds,POR
doratke01,Chicago Blackhawks,CHI
doratke01,Chicago Black Hawks,CHI
dorean01,Quebec Nordiques,QUE
dorean01,New York Rangers,NYR
dorean01,St. Louis Blues,STL
doreda01,Quebec Nordiques,QUE
doreyji01,Quebec Nordiques,QUN
doreyji01,New England Whalers,NEW
doreyji01,Toronto Toros,TOT
doreyji01,New York Rangers,NYR
doreyji01,Toronto Maple Leafs,TOR
dorioda01,New Jersey Devils,NJD
dornhga01,Philadelphia Flyers,PHI
dornhga01,Boston Bruins,BOS
dornsda01,Indianapolis Racers,IND
dornsda01,Cincinnati Stingers,CIN
dorohed01,Montreal Canadiens,MTL
dorsede01,Columbus Blue Jackets,CBS
doughdr01,Los Angeles Kings,LAK
dougljo01,Winnipeg Jets,WIN
dougljo01,Minnesota North Stars,MNS
dougljo01,New England Whalers,NEW
dougljo01,Hartford Whalers,HAR
douglke01,New York Raiders,NRA
douglke01,Oakland Seals,OAK
douglke01,Detroit Red Wings,DET
douglke01,Toronto Maple Leafs,TOR
douglle01,Detroit Red Wings,DET
doulldo01,Washington Capitals,WAS
doulldo01,Boston Bruins,BOS
douripe01,Mighty Ducks of Anaheim,ANA
douripe01,Boston Bruins,BOS
douripe01,Dallas Stars,DAL
douripe01,Winnipeg Jets,WIN
dowdji01,Montreal Canadiens,MTL
dowdji01,New Jersey Devils,NJD
dowdji01,Chicago Black Hawks,CHI
dowdji01,Vancouver Canucks,VAN
dowdji01,New York Islanders,NYI
dowdji01,Colorado Avalanche,COL
dowdji01,Philadelphia Flyers,PHI
dowdji01,Calgary Flames,CAL
dowdji01,Minnesota Wild,MIN
dowdji01,Edmonton Oilers,EDM
dowdji01,Chicago Blackhawks,CHI
dowelja01,Chicago Blackhawks,CHI
dowelja01,Dallas Stars,DAL
dowelja01,Chicago Black Hawks,CHI
dowiebr01,Toronto Maple Leafs,TOR
downeaa01,Chicago Blackhawks,CHI
downeaa01,St. Louis Blues,STL
downeaa01,Montreal Canadiens,MTL
downeaa01,Chicago Black Hawks,CHI
downeaa01,Dallas Stars,DAL
downeaa01,Detroit Red Wings,DET
downeaa01,Boston Bruins,BOS
downida01,Toronto Maple Leafs,TOR
downist01,Colorado Avalanche,COL
downist01,Philadelphia Flyers,PHI
downist01,Tampa Bay Lightning,TBL
doylega01,Edmonton Oilers,EDO
doyonma01,Quebec Nordiques,QUE
doyonma01,Chicago Black Hawks,CHI
doyonma01,Chicago Blackhawks,CHI
drakeda01,Winnipeg Jets,WIN
drakeda01,Phoenix Coyotes,PHO
drakeda01,St. Louis Blues,STL
drakeda01,Detroit Red Wings,DET
drapebr01,Toronto Maple Leafs,TOR
drapekr01,Detroit Red Wings,DET
drapekr01,Winnipeg Jets,WIN
drapeto01,New York Islanders,NYI
drapeto01,Buffalo Sabres,BUF
drapeto01,Winnipeg Jets,WIN
drazeni01,St. Louis Blues,STL
drewida01,Los Angeles Kings,LAK
drillgo01,Montreal Canadiens,MTL
drillgo01,Toronto Maple Leafs,TOR
driscpe01,Calgary Cowboys,CAC
driscpe01,Indianapolis Racers,IND
driscpe01,Vancouver Blazers,VAB
driscpe01,Edmonton Oilers,EDM
driscpe01,Edmonton Oilers,EDO
driscpe01,Quebec Nordiques,QUN
drivebr01,New Jersey Devils,NJD
drivebr01,New York Rangers,NYR
drolere01,Detroit Red Wings,DET
drolere01,Philadelphia Flyers,PHI
droppiv01,Chicago Blackhawks,CHI
droppiv01,Chicago Black Hawks,CHI
drouicl01,Detroit Red Wings,DET
drouije01,Anaheim Ducks,AND
drouije01,Edmonton Oilers,EDM
drouiju01,Minnesota North Stars,MNS
drouiju01,New York Islanders,NYI
drouiju01,Winnipeg Jets,WIN
drouiju01,Montreal Canadiens,MTL
drouipc01,Boston Bruins,BOS
drouipo01,Montreal Canadiens,MTL
drucejo01,Los Angeles Kings,LAK
drucejo01,Philadelphia Flyers,PHI
drucejo01,Winnipeg Jets,WIN
drucejo01,Washington Capitals,WAS
drukeha01,Toronto Maple Leafs,TOR
drukeha01,Vancouver Canucks,VAN
drukeha01,Carolina Hurricanes,CAR
drulist01,Tampa Bay Lightning,TBL
drummji01,New York Rangers,NYR
drurych01,Buffalo Sabres,BUF
drurych01,Calgary Flames,CAL
drurych01,Colorado Avalanche,COL
drurych01,New York Rangers,NYR
druryhe01,Philadelphia Quakers,PHQ
druryhe01,Pittsburgh Pirates,PIP
druryte01,Calgary Flames,CAL
druryte01,New York Islanders,NYI
druryte01,Hartford Whalers,HAR
druryte01,Ottawa Senators,OTT
druryte01,Columbus Blue Jackets,CBS
druryte01,Mighty Ducks of Anaheim,ANA
drydeda01,Chicago Black Hawks,CHI
drydeda01,Chicago Cougars,CHC
drydeda01,Chicago Blackhawks,CHI
drydeda01,Edmonton Oilers,EDO
drydeda01,Buffalo Sabres,BUF
drydeda01,New York Rangers,NYR
drydeda01,Edmonton Oilers,EDM
drydeke01,Montreal Canadiens,MTL
dubeaer01,Montreal Canadiens,MOC
dubech01,New York Rangers,NYR
dubegi01,Detroit Red Wings,DET
dubegi01,Montreal Canadiens,MTL
dubeno01,Kansas City Scouts,KCS
dubeno01,Quebec Nordiques,QUN
duberju01,Pittsburgh Penguins,PIT
dubiewa01,Columbus Blue Jackets,CBS
dubiewa01,Minnesota Wild,MIN
dubiewa01,New York Islanders,NYI
dubinbr01,New York Rangers,NYR
dubinst01,St. Louis Blues,STL
dubinst01,Chicago Black Hawks,CHI
dubinst01,Calgary Flames,CAL
dubinst01,Nashville Predators,NAS
dubinst01,Chicago Blackhawks,CHI
dubnyde01,Edmonton Oilers,EDM
duboimi01,Quebec Nordiques,QUN
duboimi01,Indianapolis Racers,IND
duchega01,Washington Capitals,WAS
duchega01,Minnesota North Stars,MNS
duchega01,Florida Panthers,FLO
duchega01,Quebec Nordiques,QUE
duchega01,San Jose Sharks,SJS
ducheje01,Philadelphia Flyers,PHI
duchema01,Colorado Avalanche,COL
duchest01,Philadelphia Flyers,PHI
duchest01,St. Louis Blues,STL
duchest01,Los Angeles Kings,LAK
duchest01,Ottawa Senators,OTT
duchest01,Detroit Red Wings,DET
duchest01,Quebec Nordiques,QUE
ducomi01,Vancouver Canucks,VAN
ducomi01,Florida Panthers,FLO
dudleri01,Winnipeg Jets,WIN
dudleri01,Buffalo Sabres,BUF
dudleri01,Cincinnati Stingers,CIN
duerdda01,Florida Panthers,FLO
duffdi01,Buffalo Sabres,BUF
duffdi01,Los Angeles Kings,LAK
duffdi01,Toronto Maple Leafs,TOR
duffdi01,New York Rangers,NYR
duffdi01,Montreal Canadiens,MTL
duffupa01,Phoenix Coyotes,PHO
duforan01,Ottawa Senators,OT1
dufougu01,Quebec Nordiques,QUN
dufoulu01,St. Louis Blues,STL
dufoulu01,Boston Bruins,BOS
dufoulu01,Quebec Nordiques,QUE
dufouma01,Los Angeles Kings,LAK
dufouma01,New York Rangers,NYR
dufredo01,Montreal Canadiens,MTL
dufredo01,Tampa Bay Lightning,TBL
dufredo01,St. Louis Blues,STL
dufredo01,Los Angeles Kings,LAK
dufredo01,Edmonton Oilers,EDM
duggajo01,Ottawa Senators,OTS
duggake01,Minnesota North Stars,MNS
duguaro01,New York Rangers,NYR
duguaro01,Detroit Red Wings,DET
duguaro01,Pittsburgh Penguins,PIT
duguaro01,Los Angeles Kings,LAK
duguilo01,Detroit Red Wings,DET
duguilo01,Boston Bruins,BOS
duguilo01,Montreal Maroons,MTM
dukowdu01,New York Americans,NYA
dukowdu01,Regina Capitals,REG
dukowdu01,Chicago Black Hawks,CHI
dukowdu01,New York Rangers,NYR
dukowdu01,Portland Rosebuds,POR
dukowdu01,Chicago Blackhawks,CHI
dukowdu01,Saskatoon/Moose Jaw Sheiks,SMJ
dumarez01,Toronto Tecumsehs,TO1
dumarwo01,Boston Bruins,BOS
dumasmi01,Chicago Black Hawks,CHI
dumasmi01,Chicago Blackhawks,CHI
dumasri01,Chicago Cougars,CHC
dumonga01,Montreal Canadiens,MTL
dumonjp01,Chicago Blackhawks,CHI
dumonjp01,Chicago Black Hawks,CHI
dumonjp01,Buffalo Sabres,BUF
dumonjp01,Nashville Predators,NAS
dunbada01,Boston Bruins,BOS
dunbada01,Vancouver Canucks,VAN
duncaar01,Toronto Maple Leafs,TOR
duncaar01,Vancouver Millionaires,VML
duncaar01,Detroit Cougars,DTC
duncaar01,Vancouver Maroons,VAM
duncaar01,Calgary Tigers,CAT
duncaar01,Vancouver Maroons,VMR
duncaar01,228th Battalion,TOB
duncacr01,New York Rangers,NYR
duncacr01,Los Angeles Kings,LAK
duncacr01,Winnipeg Jets,WIN
duncaia01,Winnipeg Jets,WIN
dundaro01,Toronto Maple Leafs,TOR
dundeto01,Quebec Bulldogs,QU1
dundeto01,Victoria Cougars,VC1
dundeto01,Victoria Aristocrats,VA2
dundeto01,Saskatoon Crescents,SAC
dundeto01,Edmonton Eskimos,EDE
dundeto01,Montreal Shamrocks,MOS
dundeto01,Portland Rosebuds,PO1
dundeto01,Victoria Aristocrats,VA1
dunhami01,Nashville Predators,NAS
dunhami01,New York Rangers,NYR
dunhami01,New Jersey Devils,NJD
dunhami01,Atlanta Thrashers,ATL
dunhami01,New York Islanders,NYI
dunlafr01,Toronto Maple Leafs,TOR
dunlobl01,St. Louis Blues,STL
dunlobl01,Philadelphia Flyers,PHI
dunlobl01,Minnesota North Stars,MNS
dunlobl01,Detroit Red Wings,DET
dunnda01,Toronto Maple Leafs,TOR
dunnda01,Vancouver Canucks,VAN
dunnda01,Winnipeg Jets,WIJ
dunnri01,Hartford Whalers,HAR
dunnri01,Buffalo Sabres,BUF
dunnri01,Calgary Flames,CAL
duperde01,Washington Capitals,WAS
duperde01,Colorado Rockies,COR
duperde01,Toronto Maple Leafs,TOR
duperde01,St. Louis Blues,STL
duperde01,Kansas City Scouts,KCS
duponan01,St. Louis Blues,STL
duponan01,Philadelphia Flyers,PHI
duponan01,Quebec Nordiques,QUE
duponan01,New York Rangers,NYR
duponbr01,New York Rangers,NYR
duponje01,Chicago Blackhawks,CHI
duponje01,Chicago Black Hawks,CHI
duponje01,Toronto Maple Leafs,TOR
duponmi01,Calgary Flames,CAL
duponmi01,Pittsburgh Penguins,PIT
duponmi01,St. Louis Blues,STL
duponno01,Hartford Whalers,HAR
duponno01,Winnipeg Jets,WIN
duponno01,Montreal Canadiens,MTL
duprari01,Toronto Toros,TOT
dupreya01,Philadelphia Flyers,PHI
dupuibo01,Edmonton Oilers,EDM
dupuipa01,New York Rangers,NYR
dupuipa01,Pittsburgh Penguins,PIT
dupuipa01,Minnesota Wild,MIN
dupuipa01,Atlanta Thrashers,ATL
dupuiph01,Toronto Maple Leafs,TOR
dupuiph01,Colorado Avalanche,COL
durbast01,Kansas City Scouts,KCS
durbast01,Birmingham Bulls,BIR
durbast01,Pittsburgh Penguins,PIT
durbast01,Colorado Rockies,COR
durbast01,St. Louis Blues,STL
durdivl01,Soviet All Stars,SOV
durisvi01,Toronto Maple Leafs,TOR
durisvi01,Czechoslovakia,CZE
durnabi01,Montreal Canadiens,MTL
durnoch01,Colorado Avalanche,COL
dusabbe01,New York Rangers,NYR
dussano01,Montreal Canadiens,MTL
duttore01,Montreal Maroons,MTM
duttore01,New York Americans,NYA
duttore01,Calgary Tigers,CAT
dvorami01,Philadelphia Flyers,PHI
dvorara01,St. Louis Blues,STL
dvorara01,New York Rangers,NYR
dvorara01,Atlanta Thrashers,ATL
dvorara01,Dallas Stars,DAL
dvorara01,Florida Panthers,FLO
dvorara01,Edmonton Oilers,EDM
dwyergo01,New York Rangers,NYR
dwyergo01,Tampa Bay Lightning,TBL
dwyergo01,Montreal Canadiens,MTL
dwyermi01,Colorado Rockies,COR
dwyermi01,Calgary Flames,CAL
dwyerpa01,Carolina Hurricanes,CAR
dycked01,Vancouver Canucks,VAN
dycked01,Indianapolis Racers,IND
dyckhe01,New York Rangers,NYR
dyeba01,Chicago Blackhawks,CHI
dyeba01,New York Americans,NYA
dyeba01,Toronto St. Patricks,TRS
dyeba01,Chicago Black Hawks,CHI
dyeba01,Hamilton Tigers,HAM
dyeba01,Toronto Maple Leafs,TOR
dykhuka01,Tampa Bay Lightning,TBL
dykhuka01,Montreal Canadiens,MTL
dykhuka01,Chicago Blackhawks,CHI
dykhuka01,Chicago Black Hawks,CHI
dykhuka01,Philadelphia Flyers,PHI
dykstst01,Hartford Whalers,HAR
dykstst01,Edmonton Oilers,EDM
dykstst01,Buffalo Sabres,BUF
dykstst01,Pittsburgh Penguins,PIT
dyteja01,Chicago Blackhawks,CHI
dyteja01,Chicago Black Hawks,CHI
dziedjo01,Phoenix Coyotes,PHO
dziedjo01,Pittsburgh Penguins,PIT
dzurivl01,Czechoslovakia,CZE
eagerbe01,Chicago Black Hawks,CHI
eagerbe01,Chicago Blackhawks,CHI
eagerbe01,Edmonton Oilers,EDM
eagerbe01,San Jose Sharks,SJS
eagerbe01,Atlanta Thrashers,ATL
eagerbe01,Philadelphia Flyers,PHI
eaglemi01,Chicago Blackhawks,CHI
eaglemi01,Winnipeg Jets,WIN
eaglemi01,Chicago Black Hawks,CHI
eaglemi01,Washington Capitals,WAS
eaglemi01,Quebec Nordiques,QUE
eakinbr01,Calgary Flames,CAL
eakinbr01,Detroit Red Wings,DET
eakinco01,Washington Capitals,WAS
eakinda01,Phoenix Coyotes,PHO
eakinda01,New York Islanders,NYI
eakinda01,New York Rangers,NYR
eakinda01,St. Louis Blues,STL
eakinda01,Winnipeg Jets,WIN
eakinda01,Calgary Flames,CAL
eakinda01,Toronto Maple Leafs,TOR
eakinda01,Florida Panthers,FLO
earlro01,Minnesota Wild,MIN
earlro01,Toronto Maple Leafs,TOR
earlto01,New England Whalers,NEW
eastwmi01,Winnipeg Jets,WIN
eastwmi01,Pittsburgh Penguins,PIT
eastwmi01,New York Rangers,NYR
eastwmi01,Chicago Blackhawks,CHI
eastwmi01,St. Louis Blues,STL
eastwmi01,Phoenix Coyotes,PHO
eastwmi01,Chicago Black Hawks,CHI
eastwmi01,Toronto Maple Leafs,TOR
eatonma01,Philadelphia Flyers,PHI
eatonma01,New York Islanders,NYI
eatonma01,Nashville Predators,NAS
eatonma01,Pittsburgh Penguins,PIT
eatouje01,Buffalo Sabres,BUF
eavesmi01,Minnesota North Stars,MNS
eavesmi01,Calgary Flames,CAL
eavesmu01,Detroit Red Wings,DET
eavesmu01,Winnipeg Jets,WIN
eavespa01,Ottawa Senators,OTT
eavespa01,Carolina Hurricanes,CAR
eavespa01,Detroit Red Wings,DET
ebbetan01,Phoenix Coyotes,PHO
ebbetan01,Minnesota Wild,MIN
ebbetan01,Vancouver Canucks,VAN
ebbetan01,Chicago Black Hawks,CHI
ebbetan01,Anaheim Ducks,AND
ebbetan01,Chicago Blackhawks,CHI
eberljo01,Edmonton Oilers,EDM
eccleti01,Atlanta Flames,ATF
eccleti01,St. Louis Blues,STL
eccleti01,Toronto Maple Leafs,TOR
eccleti01,Detroit Red Wings,DET
eckfoty01,New Jersey Devils,NJD
edberro01,Washington Capitals,WAS
eddolfr01,New York Rangers,NYR
eddolfr01,Montreal Canadiens,MTL
edestda01,Pittsburgh Penguins,PIT
edestda01,Los Angeles Kings,LAK
edestda01,Philadelphia Flyers,PHI
edestda01,St. Louis Blues,STL
edestda01,Boston Bruins,BOS
edleral01,Vancouver Canucks,VAN
edmunga01,Toronto Maple Leafs,TOR
edmunga01,Montreal Canadiens,MTL
edurto01,Colorado Rockies,COR
edurto01,Pittsburgh Penguins,PIT
edurto01,Cleveland Crusaders,CLC
edwardo01,Buffalo Sabres,BUF
edwardo01,Calgary Flames,CAL
edwardo01,Toronto Maple Leafs,TOR
edwarga01,Pittsburgh Penguins,PIT
edwarga01,Minnesota North Stars,MNS
edwarga01,Cleveland Barons,CLE
edwarga01,St. Louis Blues,STL
edwarga01,Los Angeles Kings,LAK
edwarga01,Edmonton Oilers,EDM
edwarma01,California Golden Seals,CLF
edwarma01,Toronto Maple Leafs,TOR
edwarma01,Pittsburgh Penguins,PIT
edwarro01,Pittsburgh Penguins,PIT
edwarro01,Detroit Red Wings,DET
eganpa01,Detroit Red Wings,DET
eganpa01,New York Rangers,NYR
eganpa01,Boston Bruins,BOS
eganpa01,Brooklyn Americans,BKN
eganpa01,New York Americans,NYA
egelaal01,Tampa Bay Lightning,TBL
egersja01,New York Rangers,NYR
egersja01,Washington Capitals,WAS
egersja01,St. Louis Blues,STL
ehmange01,California Golden Seals,CLF
ehmange01,Toronto Maple Leafs,TOR
ehmange01,Detroit Red Wings,DET
ehmange01,Oakland Seals,OAK
ehmange01,Boston Bruins,BOS
ehrhoch01,Buffalo Sabres,BUF
ehrhoch01,San Jose Sharks,SJS
ehrhoch01,Vancouver Canucks,VAN
eisenne01,Calgary Flames,CAL
eisenne01,Vancouver Canucks,VAN
ekholma01,Nashville Predators,NAS
eklunbr01,Tampa Bay Lightning,TBL
eklunpe01,Dallas Stars,DAL
eklunpe01,Philadelphia Flyers,PHI
ekmanni01,Tampa Bay Lightning,TBL
ekmanni01,San Jose Sharks,SJS
ekmanni01,Pittsburgh Penguins,PIT
ekmanol01,Phoenix Coyotes,PHO
eldeban01,Vancouver Canucks,VAN
eldeban01,Quebec Nordiques,QUE
eliaspa01,New Jersey Devils,NJD
elichma01,Tampa Bay Lightning,TBL
elikbo01,Detroit Red Wings,DET
elikto01,Los Angeles Kings,LAK
elikto01,St. Louis Blues,STL
elikto01,San Jose Sharks,SJS
elikto01,Edmonton Oilers,EDM
elikto01,Boston Bruins,BOS
elikto01,Minnesota North Stars,MNS
eliotda01,Buffalo Sabres,BUF
eliotda01,Detroit Red Wings,DET
eliotda01,Los Angeles Kings,LAK
elkinco01,Los Angeles Kings,LAK
ellacke01,Vancouver Canucks,VAN
ellerke01,Florida Panthers,FLO
ellerla01,St. Louis Blues,STL
ellerla01,Montreal Canadiens,MTL
elletda01,Toronto Maple Leafs,TOR
elletda01,New Jersey Devils,NJD
elletda01,St. Louis Blues,STL
elletda01,Boston Bruins,BOS
elletda01,Winnipeg Jets,WIN
elliobr01,St. Louis Blues,STL
elliobr01,Ottawa Senators,OTT
elliobr01,Colorado Avalanche,COL
elliofr01,Ottawa Senators,OTS
elliost01,Colorado Avalanche,COL
ellisda01,Tampa Bay Lightning,TBL
ellisda01,Dallas Stars,DAL
ellisda01,Anaheim Ducks,AND
ellisda01,Nashville Predators,NAS
ellisma01,Philadelphia Flyers,PHI
ellisma01,Chicago Black Hawks,CHI
ellisma01,Chicago Blackhawks,CHI
ellisma02,Buffalo Sabres,BUF
ellisma02,Detroit Red Wings,DET
ellisma02,Los Angeles Kings,LAK
ellisro01,Toronto Maple Leafs,TOR
ellisry01,Nashville Predators,NAS
elmerwa01,Saskatoon Crescents,SAC
elmerwa01,Victoria Cougars,VIC
elomomi01,Washington Capitals,WAS
eloraka01,Calgary Flames,CAL
eloraka01,St. Louis Blues,STL
elorami01,Boston Bruins,BOS
elorami01,Los Angeles Kings,LAK
elynupa01,Ottawa Senators,OTT
elynupa01,Winnipeg Jets,WIN
elynupa01,Tampa Bay Lightning,TBL
elynupa01,Washington Capitals,WAS
embered01,Montreal Canadiens,MTL
emelial01,Montreal Canadiens,MTL
emeljan01,Soviet All Stars,SOV
emersne01,Winnipeg Jets,WIN
emersne01,Atlanta Thrashers,ATL
emersne01,Los Angeles Kings,LAK
emersne01,Ottawa Senators,OTT
emersne01,Carolina Hurricanes,CAR
emersne01,Hartford Whalers,HAR
emersne01,Chicago Black Hawks,CHI
emersne01,Chicago Blackhawks,CHI
emersne01,St. Louis Blues,STL
emeryra01,Philadelphia Flyers,PHI
emeryra01,Chicago Blackhawks,CHI
emeryra01,Ottawa Senators,OTT
emeryra01,Anaheim Ducks,AND
emeryra01,Chicago Black Hawks,CHI
emingst01,Washington Capitals,WAS
emingst01,Anaheim Ducks,AND
emingst01,Tampa Bay Lightning,TBL
emingst01,Philadelphia Flyers,PHI
emingst01,New York Rangers,NYR
emingst01,Florida Panthers,FLO
emmada01,New Jersey Devils,NJD
emmada01,Boston Bruins,BOS
emmada01,Florida Panthers,FLO
emmerco01,Detroit Red Wings,DET
emmonga01,San Jose Sharks,SJS
emmonjo01,Ottawa Senators,OTT
emmonjo01,Tampa Bay Lightning,TBL
emmonjo01,Boston Bruins,BOS
emmsha01,Detroit Falcons,DTF
emmsha01,Montreal Maroons,MTM
emmsha01,New York Americans,NYA
emmsha01,Boston Bruins,BOS
emmsha01,Detroit Red Wings,DET
endeacr01,Winnipeg Jets,WIN
endicsh01,Pittsburgh Penguins,PIT
engblbr01,Washington Capitals,WAS
engblbr01,Los Angeles Kings,LAK
engblbr01,Buffalo Sabres,BUF
engblbr01,Calgary Flames,CAL
engblbr01,Montreal Canadiens,MTL
engelde01,Pittsburgh Penguins,PIT
engelje01,Minnesota North Stars,MNS
englijo01,Los Angeles Kings,LAK
engqvan01,Montreal Canadiens,MTL
ennisji01,Edmonton Oilers,EDM
ennisty01,Buffalo Sabres,BUF
enrotjh01,Buffalo Sabres,BUF
enstrto01,Winnipeg Jets,WPG
enstrto01,Atlanta Thrashers,ATL
eratma01,Nashville Predators,NAS
erickau01,Boston Bruins,BOS
erickau01,Chicago Black Hawks,CHI
erickau01,Oakland Seals,OAK
erickau01,Toronto Maple Leafs,TOR
erickau01,Chicago Blackhawks,CHI
erickbr01,Winnipeg Jets,WIN
erickbr01,Pittsburgh Penguins,PIT
erickbr01,Los Angeles Kings,LAK
erickbr01,Washington Capitals,WAS
erickch01,New Jersey Devils,NJD
erickgr01,Boston Bruins,BOS
erickgr01,Cleveland Crusaders,CLC
erickgr01,Phoenix Roadrunners,PHR
erickgr01,Minnesota North Stars,MNS
ericsjo01,Detroit Red Wings,DET
eriksan01,Detroit Red Wings,DET
eriksan01,New York Rangers,NYR
eriksan01,Chicago Blackhawks,CHI
eriksan01,Chicago Black Hawks,CHI
eriksan01,Toronto Maple Leafs,TOR
eriksan01,Calgary Flames,CAL
eriksan01,Columbus Blue Jackets,CBS
eriksan01,Phoenix Coyotes,PHO
eriksan01,Florida Panthers,FLO
erikslo01,Dallas Stars,DAL
erikspe01,Edmonton Oilers,EDM
eriksro01,Minnesota North Stars,MNS
eriksro01,Winnipeg Jets,WIJ
eriksro01,Vancouver Canucks,VAN
eriksth01,Philadelphia Flyers,PHI
erixoja01,New York Rangers,NYR
erixoti01,New York Rangers,NYR
erreybo01,Buffalo Sabres,BUF
erreybo01,Detroit Red Wings,DET
erreybo01,Pittsburgh Penguins,PIT
erreybo01,Dallas Stars,DAL
erreybo01,New York Rangers,NYR
erreybo01,San Jose Sharks,SJS
ersbeer01,Los Angeles Kings,LAK
erskijo01,New York Islanders,NYI
erskijo01,Dallas Stars,DAL
erskijo01,Washington Capitals,WAS
esaule01,Calgary Flames,CAL
esaule01,Toronto Maple Leafs,TOR
esaule01,Quebec Nordiques,QUE
esaule01,Edmonton Oilers,EDM
eschero01,Phoenix Coyotes,PHO
eschero01,Philadelphia Flyers,PHI
esposph01,Chicago Black Hawks,CHI
esposph01,Boston Bruins,BOS
esposph01,New York Rangers,NYR
esposph01,Chicago Blackhawks,CHI
esposto01,Chicago Black Hawks,CHI
esposto01,Chicago Blackhawks,CHI
esposto01,Montreal Canadiens,MTL
essenbo01,Buffalo Sabres,BUF
essenbo01,Vancouver Canucks,VAN
essenbo01,Detroit Red Wings,DET
essenbo01,Phoenix Coyotes,PHO
essenbo01,Edmonton Oilers,EDM
essenbo01,Winnipeg Jets,WIN
evansbr01,Calgary Flames,CAL
evansch01,Birmingham Bulls,BIR
evansch01,Kansas City Scouts,KCS
evansch01,Detroit Red Wings,DET
evansch01,Buffalo Sabres,BUF
evansch01,St. Louis Blues,STL
evansch01,Quebec Nordiques,QUN
evansch01,Calgary Cowboys,CAC
evansch01,Toronto Maple Leafs,TOR
evanscl01,Montreal Canadiens,MTL
evanscl01,Boston Bruins,BOS
evansda01,Los Angeles Kings,LAK
evansda01,Toronto Maple Leafs,TOR
evansda01,Washington Capitals,WAS
evansdo01,Philadelphia Flyers,PHI
evansdo01,Winnipeg Jets,WIN
evansdo01,St. Louis Blues,STL
evansja01,Chicago Blackhawks,CHI
evansja01,Chicago Black Hawks,CHI
evansja01,New York Rangers,NYR
evansjo01,Philadelphia Flyers,PHI
evanske01,Minnesota North Stars,MNS
evanske01,San Jose Sharks,SJS
evanspa01,Toronto Maple Leafs,TOR
evanssh01,St. Louis Blues,STL
evanssh01,New York Islanders,NYI
evansst01,Detroit Falcons,DTF
evansst01,Montreal Maroons,MTM
